timestamp,temp,hum
1745761326,27.799999,27.700001
1745761342,27.299999,31.500000
1745761357,27.000000,31.900000
1745761389,26.500000,32.900002
1745761407,26.299999,32.599998
1745761423,26.100000,33.200001
1745761438,25.900000,33.000000
1745761453,25.799999,33.099998
1745761468,25.600000,33.200001
1745761484,25.500000,33.299999
1745761499,25.400000,33.500000
1745761514,25.299999,33.700001
1745761529,25.200001,34.200001
1745761544,25.100000,34.599998
1745761559,25.100000,34.200001
1745761577,25.000000,34.200001
1745761592,25.000000,34.200001
1745761608,25.400000,51.700001
1745761624,27.000000,71.900002
1745761639,28.400000,77.599998
1745761654,29.500000,78.599998
1745761669,29.900000,66.800003
1745761686,29.600000,49.900002
1745761704,29.299999,43.200001
1745761721,28.700001,38.799999
1745761740,28.200001,36.599998
1745761758,27.799999,35.599998
1745761774,27.400000,34.799999
1745761789,27.100000,34.400002
1745761807,26.900000,34.099998
1745761826,26.700001,34.099998
1745761841,26.400000,34.000000
1745761857,26.299999,34.000000
1745761872,26.200001,34.299999
1745761887,26.000000,34.200001
1745761905,25.900000,34.200001
1745761920,25.799999,34.099998
1745761935,25.700001,34.200001
1745761950,25.600000,34.500000
1745761966,25.500000,34.400002
1745761981,25.400000,34.599998
1745762003,25.400000,34.500000
1745762018,25.299999,34.400002
1745762033,25.299999,34.900002
1745762048,25.200001,35.000000
1745762063,25.200001,35.000000
1745762079,25.200001,34.799999
1745762094,25.100000,34.700001
1745762109,25.100000,34.700001
1745762124,25.100000,34.500000
1745762139,25.100000,35.400002
1745762155,25.100000,35.299999
1745762170,25.100000,35.000000
1745762228,25.100000,31.000000
1745762245,25.100000,35.400002
1745762260,25.100000,35.099998
1745762275,25.100000,34.900002
1745762290,25.100000,34.799999
1745762329,25.100000,34.599998
1745762345,25.100000,34.599998
1745762361,25.100000,34.299999
1745762378,25.100000,34.200001
1745762417,25.100000,29.400000
1745762432,25.100000,33.799999
1745762447,25.100000,33.900002
1745762462,25.100000,34.000000
1745762498,25.100000,34.900002
1745762513,25.000000,34.400002
1745762528,25.000000,34.200001
1745762543,25.000000,34.200001
1745762559,25.000000,34.900002
1745762574,25.000000,34.599998
1745762589,25.000000,34.299999
1745762604,25.000000,34.200001
1745762622,25.000000,34.299999
1745762637,25.000000,34.099998
1745762654,25.000000,34.000000
1745762673,25.000000,33.900002
1745762688,25.000000,33.900002
1745762703,25.000000,34.000000
1745762718,25.000000,34.099998
1745762733,25.000000,34.500000
1745762747,25.000000,34.799999
1745762763,25.000000,34.299999
1745762806,25.000000,28.900000
1745762822,25.000000,33.900002
1745762837,25.000000,34.299999
1745762852,25.000000,34.200001
1745762867,25.000000,33.799999
1745762901,25.000000,28.799999
1745762916,25.000000,32.799999
1745762931,25.000000,33.200001
1745762947,25.000000,33.000000
1745763082,25.000000,33.299999
1745763863,23.700001,37.400002
1745763878,23.700001,37.299999
1745763893,23.700001,37.400002
1745763909,23.700001,37.599998
1745763924,23.700001,37.599998
1745763940,23.700001,37.599998
1745763956,23.700001,37.599998
1745763972,23.700001,37.599998
1745763989,23.700001,37.599998
1745764009,23.799999,37.500000
1745764024,23.799999,37.500000
1745764039,23.799999,37.599998
1745764054,23.799999,37.599998
1745764069,23.799999,37.599998
1745764084,23.799999,37.700001
1745764099,23.799999,37.599998
1745764114,23.799999,37.500000
